Trade Key,Total BTO Cost,Total STC Proceeds,Net Profit,Type
ACH Deposit on 2025-04-07,0.0,10000.0,10000.0,Deposit
ACH Deposit on 2025-04-01,0.0,5000.0,5000.0,Deposit
"SPXW | SPXW 4/22/2025 Call $5,300.00",-751.96,2998.04,2246.08,Trade STC/BTO
"SPXW | SPXW 4/4/2025 Put $5,200.00",-2600.98,3299.02,698.04,Trade STC/BTO
"SPXW | SPXW 4/7/2025 Put $4,700.00",-3393.92,3996.07,602.1500000000001,Trade STC/BTO
"NDXP | NDXP 4/1/2025 Call $19,500.00",-600.64,999.36,398.72,Trade STC/BTO
"SPXW | SPXW 4/16/2025 Put $5,320.00",-1300.98,1699.02,398.03999999999996,Trade STC/BTO
"SPXW | SPXW 4/17/2025 Put $5,300.00",-300.98,649.02,348.03999999999996,Trade STC/BTO
HOOD | HOOD 5/2/2025 Call $50.00,-225.20999999999998,548.75,323.54,Trade STC/BTO
"NDXP | NDXP 4/10/2025 Call $18,900.00",-700.64,999.36,298.72,Trade STC/BTO
"SPXW | SPXW 4/16/2025 Put $5,270.00",-1250.98,1499.02,248.03999999999996,Trade STC/BTO
"SPXW | SPXW 4/16/2025 Put $5,250.00",-1000.98,1199.02,198.03999999999996,Trade STC/BTO
"NDXP | NDXP 4/24/2025 Put $19,000.00",-320.64,499.36,178.72000000000003,Trade STC/BTO
"SPXW | SPXW 4/17/2025 Put $5,290.00",-990.98,1099.02,108.03999999999996,Trade STC/BTO
"NDXP | NDXP 4/11/2025 Put $17,300.00",-1200.64,1299.36,98.7199999999998,Trade STC/BTO
"SPXW | SPXW 4/15/2025 Put $5,385.00",-150.98,174.02,23.04000000000002,Trade STC/BTO
"NDXP | NDXP 4/22/2025 Put $18,050.00",-100.64,0.0,-100.64,Trade STC/BTO
META | META 4/4/2025 Call $620.00,-118.04,0.0,-118.04,Trade STC/BTO
"NDXP | NDXP 4/15/2025 Call $19,400.00",-400.64,74.36,-326.28,Trade STC/BTO
"NDXP | NDXP 4/23/2025 Put $18,500.00",-1031.28,598.72,-432.55999999999995,Trade STC/BTO
"SPXW | SPXW 4/14/2025 Call $5,450.00",-800.98,0.0,-800.98,Trade STC/BTO
"NDXP | NDXP 4/3/2025 Put $18,480.00",-2200.64,1299.36,-901.28,Trade STC/BTO
"SPXW | SPXW 4/9/2025 Put $4,850.00",-1101.96,0.0,-1101.96,Trade STC/BTO
